"Standard","Standardowy"
"Minimal","Minimalny"
"Optional","Opcjonalny"
"Required","Wymagany"
"Hidden","Ukryty"
"The fire checkout is disabled.","fire checkout jest wyłączony."
"Fire Checkout Section","Sekcja Fire Checkout"
"Fire Checkout","Fire Checkout"
"Default Shipping Method","Domyślna metoda dostawy"
"Default Payment Method","Domyślna metoda płatności"
"Default Country","Domyślny kraj"
"GeoIP","GeoIP"
"Enable Country Detection","Włącz wykrywanie kraju"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Pobierz</a> i rozpakuj plik w folderze 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' jeśli go nie miałeś"
"Enable City Detection","Włącz wykrywanie miasta"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Pobierz</a> i rozpakuj plik w folderze 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' jeśli go nie miałeś"
"Show Shipping Address Form","Pokaż formularz adresu dostawy"
"Show Subscribe to Newsletter Checkbox","Pokaż Zapisz się do newslettera"
"Address Form Fields","Pola formularza adresowego"
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","Przed zmianą niektórych pól, upewnij się, że twój dostawca płatności/wysyłki ich nie wymaga"
"Output Type","Typ produkcji"
"Create account for later use","Stwórz konto do późniejszego użytku"
"Checkout Review","Przegląd zamówienia"
"Already registered? Login into your account","Zarejestrowany? Zaloguj się na swoje konto"
"Show Comment Field","Pokaż pole komentarza"
"Guest checkout is allowed","Zamówienie składane przez gości jest dozwolone"
"Registration is required","Rejestracja jest wymagana"
"User is registered during checkout without prompting a password","Użytkownik jest rejestrowany podczas zamawiania bez przypominania hasła"
"Registration mode","Tryb rejestracji"
"Show Discount Coupon Field","Pokaż pole kuponu rabatowego"
"Firecheckout on Mobile Devices","Firecheckout na urządzeniach mobilnych"
"Enable Region Detection","Włącz wykrywanie regionu"
"GeoIp filename","Nazwa pliku GeoIp "
"GeoIPRegion filename","Nazwa pliku GeoIPRegion"
"GeoCity filename","Nazwa pliku GeoCity "
"<a href='http://www.maxmind.com/app/region' title='Purchase Region database'>Purchase</a>, download and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://www.maxmind.com/app/region' title='Zamów bazę regionów'>Zamów</a>, pobierz i rozpakuj plik w folderze 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' jeśli go nie miałeś"
"GeoIP is enabled but not included. geoip_open function doesn't found","GeoIP jest włączony, ale nie uwzględniony. Funkcji geoip_open nie znaleziono"
"Country detection is enabled but %s not found","Wykrywanie kraju jest włączone, ale %s nie znaleziono"
